category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description
Application Deployment,development,Implement a proper prestop hook,1c4ef5de-badb-4da2-bd32-e6f27d186dd0,,Low,https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/,,,,,,"This hook is called immediately before a container is terminated due to an API request or management event such as liveness probe failure, preemption, resource contention and others. It can be used when you have critical process you want to finish or save when your pod is destroyed for any reason"
Application Deployment,development,Run more than one replica for your Deployment,1fe9c7c1-bee2-4cd6-9860-560addb9854d,,Medium,,,,,,,Ensure that your application always configure proper replicas to ensure resiliency in the event of a pod crashing or being evicted.
Application Deployment,development,Apply tags to all resources,5b0e3bcf-6638-4b84-9987-29246fdf5d89,,Medium,,,,,,,"Ensure that your components are tagged, it could be business, security or technical tags and these tags will help to assess or apply relevant policies."
Application Deployment,resiliency,Implement autoscaling of your applications,fc477432-de3c-4a70-9bdb-a325a51a03b3,,Low,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,,,,,,Automatically scale your application to the number of pods required to handle the current load. This can be achieved by using Horizontal Pod Autoscaler for CPU & Memory or by using KEDA for scaling based on other sources
Application Deployment,security,"Store your secrets in Azure Key Vault, don't inject passwords in Docker Images",89a5dfe1-9a57-479d-9e62-d65e7478bf26,,High,https://github.com/Azure/secrets-store-csi-driver-provider-azure,,,,,,"Secrets are not encrypted in etcd, prefer to store your secrets in a proper HSM like Azure Key Vault. You can then inject secrets using CSI provider."
Application Deployment,security,Implement Azure Workload Identity,f17f799f-0943-4321-be6b-1aee84ea5b77,,Medium,https://azure.github.io/azure-workload-identity,,,,,,"Don't use fixed credentials within pods or container images, as they are at risk of exposure or abuse. Instead, use workload identity federation to access Azure Active Directory (Azure AD) protected resources without needing to manage secrets "
Application Deployment,security,Use Kubernetes namespaces to properly isolate your Kubernetes resources,8335e030-df7e-4ff5-9f9c-a568924390fb,,Medium,https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,,,,,,Namespaces give you the ability to create logical partitions and enforce separation of your resources as well as limit the scope of user permissions. Don't forget not to use the Default namespace
Application Deployment,resources,Set up requests and limits on your containers,bb925fd9-67dd-47b8-bda3-5825840b8225,,High,https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/,,,,,,"When Containers have resource requests specified, the scheduler can make better decisions about which nodes to place Pods on. And when Containers have their limits specified, contention for resources on a node can be handled in a specified manner."
Application Deployment,resources,Specify the security context of your pod/container,829ac32b-5bb8-48d9-9360-309b6de704ed,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/security-context/,,,,,,"A security context defines privilege and access control settings for a Pod or Container. Control the capabilities and the rights your container can have. If you don't specify the security context, the pod get the 'default' one which may have more rights that it should"
Application Deployment,resources,Ensure your manifests respect good practices,2aaef5e8-ecef-4737-861a-8d40840456f3,,Medium,https://thechief.io/c/editorial/kubernetes-yaml-enforcing-best-practices-and-security-policies-cicd-and-gitops-pipelines/,,,,,,Best practices inside the cluster start with the configuration of your manifests. Ensure that they respect good practices
Application Deployment,security,Conduct Dockerfile scanning to ensure Docker Image Security Best Practices,0e3c2d5c-2714-44fb-a1b8-b0e1f22bdf93,,High,https://snyk.io/blog/10-docker-image-security-best-practices/,,,,,,Define a Image build security baseline for your developers to follow. You should also use scanning tools to detect Dockerfile issue
Application Deployment,security,Static Analysis of Docker Images on Build,3d2c7588-cc7c-4904-b314-ea72b112959c,,High,https://docs.microsoft.com/en-us/azure/defender-for-cloud/defender-for-containers-introduction,,,,,,Introduction of DevSecOps into the environment to promote a proactive security model that starts to shift the responsibility left
Application Deployment,security,Threshold enforcement of Docker Image Builds that contain vulnerabilities,862344c8-9738-4948-9499-625b43398a69,,Medium,https://docs.paloaltonetworks.com/prisma/prisma-cloud/prisma-cloud-admin-compute/vulnerability_management/vuln_management_rules.html,,,,,,Restrict builds with identified issues.
Application Deployment,security,Compliance enforcement of Docker Image Builds,aa8e8104-007f-44e3-8b0d-459291f28387,,High,https://docs.microsoft.com/en-us/azure/aks/policy-samples,,,,,,Being able to assess and restrict the Compliance state of an image on build.
Application Deployment,development,Use Azure Migrate to quick containerize your applications,e9bfee31-0e54-4244-b017-4bae88cf3b44,,Low,https://aka.ms/AppContainerizationtoAKS,,,,,,The App Containerization tool offers a point-and-containerize approach to repackage applications as containers with minimal to no code changes by using the running state of the application. The tool currently supports containerizing ASP.NET applications and Java web applications running on Apache Tomcat.
Application Deployment,development,Apply the right deployment type to your application,c6cb3ccb-834a-4206-98c5-e44128c7c2bf,,Low,https://blog.container-solutions.com/deployment-strategies,,,,,,There are a variety of techniques to deploy new applications to production so choosing the right strategy is an important decision that needs to be made to leverage the impact of change on the consumer.
Application Deployment,development,Don't use naked pods,7850e4ba-e264-4f2b-aac9-d6f0c6f87d04,,Low,,,,,,,Naked pods are pods not linked to a Replicaset or a Deployment. Naked Pods will not be rescheduled in the event of a node failure.
Application Deployment,development,Control the usage of imagePullPolicy,e4b16f37-2525-4c13-a507-cd59ade56ff3,,Low,https://kubernetes.io/docs/concepts/containers/images/#updating-images,,,,,,If this attributes is not properly define kubernetes downloads the container image for each new instance of the containers.
BC and DR,devops,Ensure you can perform a whitespace deployment,f61f2f44-bab5-404c-a483-1f5e160b0a80,,High,,,,,,,A whitespace (greenfield) deployment is the exercise to delete everything and to redeploy the whole platform in an automated way.
BC and DR,resiliency,Use availability zones,2138545d-2eaa-4822-b070-0d67fa97e3a5,,High,https://docs.microsoft.com/en-us/azure/aks/availability-zones#create-an-aks-cluster-across-availability-zones,,,,,,An Azure Kubernetes Service (AKS) cluster distributes resources such as the nodes and storage across logical sections of the underlying Azure compute infrastructure. This deployment model makes sure that the nodes run across separate update and fault domains in a single Azure datacenter.
BC and DR,resiliency,Plan for multiregion deployment,be156e9a-28ff-4798-a3e5-8a6b7933805c,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#plan-for-multiregion-deployment,,,,,,"When you deploy multiple AKS clusters, choose regions where AKS is available, and use paired regions."
BC and DR,resiliency,Use Azure Traffic Manager to route traffic,e067c763-9d54-4114-98e2-327547da8ad7,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#use-azure-traffic-manager-to-route-traffic,,,,,,"Azure Traffic Manager can direct customers to their closest AKS cluster and application instance. For the best performance and redundancy, direct all application traffic through Traffic Manager before it goes to your AKS cluster."
BC and DR,resiliency,Create a storage migration plan,b1f4ca8c-82f9-4e94-8fd9-ff9ddd9794d8,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#create-a-storage-migration-plan,,,,,,"Your applications might use Azure Storage for their data. Because your applications are spread across multiple AKS clusters in different regions, you need to keep the storage synchronized"
BC and DR,resiliency,Guarantee SLA for the control plane,60813014-a49a-4b0b-8fd5-9439a4da1a36,,Low,https://docs.microsoft.com/en-us/azure/aks/uptime-sla,,,,,,"Uptime SLA is an optional feature to enable a financially backed, higher SLA for a cluster. It provides you a 99,95% SLA instead of the 99,5% SLO and is relevant for your production clusters"
BC and DR,resiliency,Avoid Pods being placed into a single node,64b9add2-3dec-4f92-a4a9-bf8f912614b8,,Low,https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/#inter-pod-affinity-and-anti-affinity,,,,,,"Even if you run several copies of your Pods, there are no guarantees that losing a node won't take down your service."
BC and DR,resiliency,Enable geo-replication for container images,638450e7-005d-4c99-a347-88d72e46f09a,,Medium,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-geo-replication,,,,,,"Companies that want a local presence, or a hot backup, choose to run services from multiple Azure regions."
Identity and Access Management,security,AAD Integration,5c53566b-e9e2-4ed7-8fa9-b07922d63bda,,High,https://docs.microsoft.com/en-us/azure/aks/managed-aad,,,,,,"Azure Kubernetes Service (AKS) can be configured to use Azure Active Directory (Azure AD) for user authentication. In this configuration, you can sign in to an AKS cluster by using your Azure AD authentication token."
Identity and Access Management,security,AKS Managed Identity,f47562e9-1747-4dc4-80fd-460ff358bd12,,High,https://docs.microsoft.com/en-us/azure/aks/use-managed-identity,,,,,,Each AKS cluster needs either a Managed Identity or Service Principal.  We recommend using Managed Identity in AKS
Identity and Access Management,security,K8S RBAC + AAD Integration,d99e3be6-bc53-4c7e-ba7c-215a9f58071f,,High,https://docs.microsoft.com/en-us/azure/aks/azure-ad-rbac,,,,,,Control access to cluster resources using Kubernetes role-based access control and Azure Active Directory identities in Azure Kubernetes Service
Network Topology and Connectivity,network,Choose the appropriate network model,5a495acb-e8e7-4565-884d-b1bd7b5c4743,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#choose-the-appropriate-network-model,,,,,,"For integration with existing virtual networks or on-premises networks, use Azure CNI networking in AKS. This network model also allows greater separation of resources and controls in an enterprise environment but be aware of the impact on the network topology/IP ranges"
Network Topology and Connectivity,network,Plan IP addressing carefully,095e42d7-75a2-4ace-8a4d-4d605f843b81,,Medium,https://docs.microsoft.com/en-us/azure/aks/configure-azure-cni#plan-ip-addressing-for-your-cluster,,,,,,The size of your virtual network and its subnet must accommodate the number of pods you plan to run and the number of nodes for the cluster.
Network Topology and Connectivity,network,Distribute ingress traffic,255daa4d-8407-4e5c-9c54-a9a0b1c85a41,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#distribute-ingress-traffic,,,,,,"To distribute HTTP or HTTPS traffic to your applications, use ingress resources and controllers. Ingress controllers provide additional features over a regular Azure load balancer, and can be managed as native Kubernetes resources."
Network Topology and Connectivity,network,Secure your exposed applications with a web application firewall (WAF),d461b3dd-2bf5-473e-b3f7-098fc2a173ee,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#secure-traffic-with-a-web-application-firewall-waf,,,,,,"If you plan to host exposed applications, to scan incoming traffic for potential attacks, use a web application firewall (WAF) such as Barracuda WAF for Azure or Azure Application Gateway. These more advanced network resources can also route traffic beyond just HTTP and HTTPS connections or basic SSL termination."
Network Topology and Connectivity,network,Don't expose your load-balancer on Internet if not necessary,a0cdde45-b715-42ed-ac2a-435d9b4f9b57,,Medium,https://www.openpolicyagent.org/docs/latest/kubernetes-tutorial/#4-define-a-policy-and-load-it-into-opa-via-kubernetes,,,,,,"When a user creates an Ingress manifest, they can use any hostname in it. You may want to control which hostnames are allowed to use, like your company's hostnames."
Network Topology and Connectivity,network,Apply control on ingress hostnames,4a90134c-4ed9-4acb-a249-d685fd6abbaa,,Medium,https://docs.microsoft.com/en-us/azure/aks/ingress-internal-ip,,,,,,There is almost no reason to directly expose the ingress entry point to Internet but by default AKS create a public one. Tell him to create an internal one only.
Network Topology and Connectivity,network,Control traffic flow with network policies,b909c5f3-2727-432e-9ea7-7446ce38bcd5,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#control-traffic-flow-with-network-policies,,,,,,"Use network policies to allow or deny traffic to pods. By default, all traffic is allowed between pods within a cluster. For improved security, define rules that limit pod communication."
Network Topology and Connectivity,network,Configure default network policies in each namespace,88c90d8c-789d-4d4f-bb9b-156c2c0af986,,Medium,https://github.com/ahmetb/kubernetes-network-policy-recipes,,,,,,Start by creating a deny all policy in each namespace and then add specific policies.
Network Topology and Connectivity,network,Prevent data-leaking with egress lockdown,2f88befa-94ad-49f0-b8c3-50e77b42b860,,Medium,https://docs.microsoft.com/en-us/azure/aks/limit-egress-traffic,,,,,,Use Azure Firewall to secure and control all egress traffic going outside of the cluster.
Network Topology and Connectivity,network,Don't expose your container registry on Internet,be2aee5c-5037-405d-b3d9-eedef319898f,,Low,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-private-link,,,,,,"When possible, use private link to only allow private network to reach your registry."
Network Topology and Connectivity,network,Bloc Pod access to VMSS IMDS,d0a59a45-f95f-4581-99ce-72b100a59692,,Medium,https://docs.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/how-to-use-vm-token#get-a-token-using-curl,,,,,,"By default, Pods have access to VMSS IMDS and can request access token from the attached Managed Identity. This access should be restriced by using Network Policy."
Network Topology and Connectivity,network,Enable traffic management,c6977ee4-c09a-4570-b746-5d5b456a415f,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#use-azure-traffic-manager-to-route-traffic,,,,,,"Azure Traffic Manager can direct customers to their closest AKS cluster and application instance. For the best performance and redundancy, direct all application traffic through Traffic Manager before it goes to your AKS cluster."
Operations,operation,Maintain kubernetes version up to date,682fd292-27f0-49be-9d93-884e415613ea,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-security#regularly-update-to-the-latest-version-of-kubernetes,,,,,,"To stay current on new features and bug fixes, regularly upgrade to the Kubernetes version in your AKS cluster. Support for kubernetes is current and N-2 versions only"
Operations,operation,Keep nodes up to date and patched,7792c34a-34a8-41d6-9c25-6ac57f029876,,High,https://docs.microsoft.com/en-us/azure/aks/node-image-upgrade,,,,,,"AKS supports upgrading the images on a node so you're up to date with the newest OS and runtime updates. AKS provides one new image per week with the latest updates, so it's beneficial to upgrade your node's images regularly for the latest features, including Linux or Windows patches"
Operations,operation,Securely connect to nodes through a bastion host,6c3eea31-ea1b-4bd6-9bad-25ef51dc0f2e,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#securely-connect-to-nodes-through-a-bastion-host,,,,,,"Don't expose remote connectivity to your AKS nodes. Create a bastion host, or jump box, in a management virtual network. Use the bastion host to securely route traffic into your AKS cluster to remote management tasks."
Operations,operation,Regularly check for cluster issues ,4ec2d375-1020-4c82-97f6-fe264a22e9b3,,Medium,https://github.com/Azure/aks-periscope,,,,,,"Regularly run the latest version of cluster scanning open source tool to detect issues in your cluster. For instance, if you apply resource quotas on an existing AKS cluster, run kubestriker first to find pods that don't have resource requests and limits defined."
Operations,operation,Monitor the security of your cluster with Azure Security Center,efa07ed8-f9b4-4185-bc60-020c006f02a3,,Medium,https://docs.microsoft.com/en-us/azure/security-center/azure-kubernetes-service-integration,,,,,,Security Center brings security benefits to your AKS clusters using data already gathered by the AKS master node.
Operations,operation,Provision a log aggregation tool,009bc136-5942-482c-991d-923f9d69b469,,High,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/container-insights-analyze,,,,,,"Ensure that you are always aware of what happens in your cluster. Monitor the health of the cluster (nodes, server) but also the pods"
Operations,operation,Enable master node logs,94208711-79b4-41ba-8dc1-28bded12aafc,,High,https://docs.microsoft.com/en-us/azure/aks/view-control-plane-logs,,,,,,"To help troubleshoot your application and services, you may need to view the logs generated by the master components. Be aware that if you don't enable these logs, there is no way for Microsoft to retrieve them for you"
Operations,operation,Collect metrics,7052ca28-1564-4ac4-9b15-2c679ce1eac1,,High,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/container-insights-prometheus-integration,,,,,,"If default integration can collect telemetry data and basic metrics (CPU/Memory), they don't collect custom metrics and more detailed information. It's often necessary to install a 3rd party software (prometheus is recommend within Kubernetes) and they store these metrics to exploit them."
Operations,operation,Configure distributed tracing,6242181b-7f23-4cc0-bb85-821f6c4f71d4,,Low,https://github.com/microsoft/Application-Insights-K8s-Codeless-Attach,,,,,,"Distributed tracing, also called distributed request tracing, is a method used to profile and monitor applications, especially those built using a microservices architecture. Distributed tracing helps pinpoint where failures occur and what causes poor performance."
Operations,operation,Control the compliance with Azure Policies,2256423d-95df-46dd-9362-321a2f99ea1d,,Medium,https://docs.microsoft.com/en-us/azure/governance/policy/concepts/rego-for-aks,,,,,,"Azure Policy integrates with the Azure Kubernetes Service (AKS) to apply at-scale enforcements and safeguards on your clusters in a centralized, consistent manner."
Operations,operation,Read The Definitive Guide to Securing Kubernetes,3542a8eb-91e0-46b2-8c2a-5da7d7ea209f,,High,https://info.aquasec.com/securing_kubernetes,,,,,,This whitepaper provides an overview of key aspects and best practices of K8s security
Operations,operation,Enable Microsoft Defender for Kubernetes,275d19e9-291e-439a-9e4d-bf0547560f19,,High,https://docs.microsoft.com/en-us/azure/defender-for-cloud/defender-for-containers-introduction,,,,,,Microsoft Defender for Kubernetes provides protections for your Kubernetes clusters wherever they're running (AKS and on-premesis)
Operations,operation,Use Azure Key Vault,76b1dd91-3174-4852-977f-d00a076b06d1,,High,https://docs.microsoft.com/en-us/azure/key-vault/general/key-vault-integrate-kubernetes,,,,,,Use Azure Key Vault to store Secrets and Certificates
Operations,operation,Use GitOps,11bea1e0-c09f-4d74-a5b9-afa35a0d4bca,,High,https://www.weave.works/technologies/gitops,,,,,,GitOps works by using Git as a single source of truth for declarative infrastructure and applications
Operations,operation,Make your life easier with K8S Tools,e9cc4334-c5e5-4cf1-8696-f1a308491dc7,,Medium,https://helm.sh,,,,,,The Kubernetes ecosystem is strengthened by many tools that make operating it easier.  Here's a few
Operations,operation,Don't use the default namespace,ee81990c-f198-4146-a833-69260f0cc548,,Medium,,,,,,,It's recommended to keep all applications in a namespace other than default
Operations,network,Apply different types of labels to all resources,30e0aa8e-2d9f-48ec-938e-6ead1793770e,,Low,https://kubernetes.io/docs/concepts/overview/working-with-objects/common-labels/,,,,,,"A common set of labels allows tools to work interoperably, describing objects in a common manner that all tools can understand. For instance, resources should have technical, business and security labels. "
Operations,other,Logically isolate cluster,3c5dfc34-98f2-424a-894a-63273ab1da0d,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-isolation#logically-isolate-clusters,,,,,,Use logical isolation to separate teams and projects. Try to minimize the number of physical AKS clusters you deploy to isolate teams or applications
Operations,other,Physically isolate cluster,970959a0-5a97-4dca-89d8-42659c5e197a,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-isolation#physically-isolate-clusters,,,,,,Minimize the use of physical isolation for each separate team or application deployment
Operations,operation,VM Sizing,6e3e9710-f2b0-4710-94e8-32d420a26b78,,Medium,https://learnk8s.io/kubernetes-instance-calculator,,,,,,"Prefer fewer, larger clusters over of many, smaller clusters"
Operations,operation,Set Upgrade Channel,04404930-b330-4696-aa5e-9cd0ff8c420b,,Medium,https://docs.microsoft.com/en-us/azure/aks/upgrade-cluster#set-auto-upgrade-channel,,,,,,"In addition to manually upgrading a cluster, you can set an auto-upgrade channel on your cluster"
Operations,network,Fine tune your node configuration,20c465d5-04d4-4cf9-acfd-5d00872d87f1,,Low,https://docs.microsoft.com/en-us/azure/aks/custom-node-configuration,,,,,,Customizing your node configuration allows you to configure or tune your operating system (OS) settings or the kubelet parameters to match the needs of the workloads.
Operations,other,Customize your clusters with extensions,1b8df824-c6fe-41c6-80b7-59947a3c8df1,,Low,https://docs.microsoft.com/en-gb/azure/aks/cluster-extensions,,,,,,Cluster extensions provides an Azure Resource Manager driven experience for installation and lifecycle management of services like Azure Machine Learning (ML) on an AKS cluster. 
Resource management,resiliency,Enforce resource quotas,debbac24-b1ba-4dee-a648-4d7f082c1e4c,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-scheduler#enforce-resource-quotas,,,,,,"Plan and apply resource quotas at the namespace level. If pods don't define resource requests and limits, reject the deployment. Monitor resource usage and adjust quotas as needed."
Resource management,resiliency,Namespaces should have LimitRange,2d53ad8c-7eb7-4c16-a126-f8ee66f4a1c2,,Low,https://kubernetes.io/docs/concepts/policy/limit-range/,,,,,, A LimitRange is a policy to constrain resource allocations (to Pods or Containers) in a namespace. It's useful to ensure that pods don't forget to declare request limits
Resource management,resiliency,Set memory limits and requests for all containers,80616294-f7f4-45dd-b06a-d303ea70d467,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/assign-memory-resource/,,,,,,Set CPU and memory limits and requests to all the containers. It prevents memory leaks and CPU over-usage and protects the whole platform
Resource management,resiliency,Configure pod disruption budgets,bd2881c4-6a22-4e40-a701-1cce4b5dc4b3,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-scheduler#plan-for-availability-using-pod-disruption-budgets,,,,,,"To maintain the availability of applications, define Pod Disruption Budgets (PDBs) to make sure that a minimum number of pods are available in the cluster."
Resource management,resiliency,Set up cluster auto-scaling,02e54a3d-ba26-4386-9cb4-25b66d2332b3,,Low,https://docs.microsoft.com/en-us/azure/aks/cluster-autoscaler,,,,,,"To maintain the availability of applications and guarantee available resources, set up cluster auto-scaling"
Resource management,resources,Enable cluster autoscaling,ae6fd194-2454-4a7b-b4e1-d14662f49eea,,Medium,https://docs.microsoft.com/en-us/azure/aks/cluster-autoscaler,,,,,,"To keep up with application demands in Azure Kubernetes Service (AKS), you may need to adjust the number of nodes that run your workloads. The cluster autoscaler component can watch for pods in your cluster that can't be scheduled because of resource constraints."
Resource management,resources,Sizing of the nodes,3adf866b-0a10-4f2d-b02a-8e00a56de2bc,,Medium,https://learnk8s.io/kubernetes-node-size,,,,,,"what type of worker nodes should I use, and how many of them is a critical question which requires the analysis of the workloads deployed on your cluster to get the best values of it"
Resource management,security,Use placement proximity group to improve performance,f9c727e8-b77e-45f9-97c4-2f0387ba231b,,Low,https://docs.microsoft.com/en-us/azure/aks/reduce-latency-ppg,,,,,,"When deploying your application in Azure, spreading Virtual Machine (VM) instances across regions or availability zones creates network latency, which may impact the overall performance of your application. A proximity placement group is a logical grouping used to make sure Azure compute resources are physically located close to each other"
Storage,storage,Choose the right storage type,5ac6509c-a5eb-47e6-bc4e-4a2cd14155f1,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#choose-the-appropriate-storage-type,,,,,,"Understand the needs of your application to pick the right storage. Use high performance, SSD-backed storage for production workloads. Plan for network-based storage when there is a need for multiple concurrent connections."
Storage,storage,Size the nodes for storage needs,6705fe46-0e86-4a49-b12c-f943811cd9c5,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#size-the-nodes-for-storage-needs,,,,,,Each node size supports a maximum number of disks. Different node sizes also provide different amounts of local storage and network bandwidth. Plan for your application demands to deploy the appropriate size of nodes.
Storage,storage,Dynamically provision volumes,b247e202-ff36-4add-a5a3-a27f6dcf6fe1,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#dynamically-provision-volumes,,,,,,"To reduce management overhead and let you scale, don't statically create and assign persistent volumes. Use dynamic provisioning. In your storage classes, define the appropriate reclaim policy to minimize unneeded storage costs once pods are deleted."
Storage,storage,Secure and back up your data,686b961a-9695-4526-98a1-78db36f79810,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-storage#secure-and-back-up-your-data,,,,,,"Back up your data using an appropriate tool for your storage type, such as Velero or Azure Site Recovery"
Storage,storage,Make your storage resilient,a6f6f733-bafa-4dcd-aa96-c752578ff4a2,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#remove-service-state-from-inside-containers,,,,,,"Where possible, don't store service state inside the container. Instead, use an Azure platform as a service (PaaS) that supports multiregion replication."
Windows,windows,Map the base image to node OS,467eb3a8-a33d-4c8c-ba67-9ea2c357ccde,,High,https://docs.microsoft.com/en-us/virtualization/windowscontainers/deploy-containers/version-compatibility?tabs=windows-server-2019%2Cwindows-10-1909,,,,,,"Windows has strict compatibility rules, where the host OS version must match the container base image OS version. Only Windows containers with a container operating system of Windows Server 2019 are supported."
Windows,windows,Prepare your application for an abrupt kill,dadd4088-663d-4439-99f5-625f0755fb07,,Medium,https://cloud.google.com/blog/products/gcp/kubernetes-best-practices-terminating-with-grace,,,,,,TerminationGracePeriod is not implemented on Windows containers
Windows,windows,Don't use privileged containers,794b62b4-c578-4569-ae57-36beadbb4522,,Medium,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,Windows containers do not support elevation of privilege
Windows,windows,Watch for memory usage,e3f1b8c5-b120-444d-abde-3ad5e56413b4,,Medium,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,"There are no OOM eviction actions taken by the kubelet. Windows always treats all user-mode memory allocations as virtual, and pagefiles are mandatory. If memory is over-provisioned and all physical memory is exhausted, then paging can slow down performance."
Windows,windows,Implement CNI network mode,2470827e-4538-46cd-b9a8-d843d4c710f5,,High,https://docs.microsoft.com/en-us/azure/aks/windows-node-limitations#what-network-plug-ins-are-supported,,,,,,AKS clusters with Windows node pools must use the Azure CNI (advanced) networking model. Kubenet (basic) networking is not supported. 
Windows,windows,Patch your nodes yourself,b0f429ce-c545-44f1-a0bd-4f0e4b009783,,High,https://docs.microsoft.com/en-us/azure/aks/windows-node-limitations#how-do-patch-my-windows-nodes,,,,,,"Windows Server nodes in AKS must be upgraded to get the latest patch fixes and updates. Windows Updates are not enabled on nodes in AKS. AKS releases new node pool images as soon as patches are available, it is the customers responsibility to upgrade node pools to stay current on patches and hotfix. "
Windows,windows,Secure the traffic of your containers,9b8433a5-f039-4347-a2b1-e030f65cad4c,,High,https://kubernetes.io/docs/setup/production-environment/windows/intro-windows-in-kubernetes/#supported-functionality-and-limitations,,,,,,"Network policies are currently not supported, ensure that the containerized applications have a layer of protection like authentication "
Windows,windows,Enable Group Managed Service Accounts (GMSA) for your Windows Server nodes,03e8a8bc-bd60-4cb8-9595-92919015caed,,Medium,https://docs.microsoft.com/en-gb/azure/aks/use-group-managed-service-accounts,,,,,,"Group Managed Service Accounts (GMSA) is a managed domain account for multiple servers that provides automatic password management, simplified service principal name (SPN) management and the ability to delegate the management to other administrators."
